,agency_code,career_cluster,num_concentrators,Title I Served School,District Name
50,010324,AAVC,83,0,Alamance-Burlington Schools
51,010324,AGNR,9,0,Alamance-Burlington Schools
52,010324,ARCH,27,0,Alamance-Burlington Schools
53,010324,BMA,1,0,Alamance-Burlington Schools
54,010324,FINA,5,0,Alamance-Burlington Schools
55,010324,HLTH,25,0,Alamance-Burlington Schools
56,010324,HOSP,15,0,Alamance-Burlington Schools
57,010324,HUMA,23,0,Alamance-Burlington Schools
58,010324,INFO,1,0,Alamance-Burlington Schools
59,010324,LAW,1,0,Alamance-Burlington Schools
60,010324,STEM,11,0,Alamance-Burlington Schools
120,010348,AAVC,2,0,Alamance-Burlington Schools
121,010348,ARCH,12,0,Alamance-Burlington Schools
122,010348,BMA,1,0,Alamance-Burlington Schools
123,010348,HLTH,9,0,Alamance-Burlington Schools
124,010348,HUMA,27,0,Alamance-Burlington Schools
125,010348,INFO,1,0,Alamance-Burlington Schools
126,010348,LAW,5,0,Alamance-Burlington Schools
127,010348,STEM,1,0,Alamance-Burlington Schools
128,010348,TRAN,1,0,Alamance-Burlington Schools
189,010360,AAVC,8,0,Alamance-Burlington Schools
190,010360,AGNR,16,0,Alamance-Burlington Schools
191,010360,ARCH,5,0,Alamance-Burlington Schools
192,010360,FINA,13,0,Alamance-Burlington Schools
193,010360,HLTH,29,0,Alamance-Burlington Schools
194,010360,HOSP,32,0,Alamance-Burlington Schools
195,010360,HUMA,46,0,Alamance-Burlington Schools
196,010360,LAW,4,0,Alamance-Burlington Schools
197,010360,STEM,3,0,Alamance-Burlington Schools
198,010360,TRAN,4,0,Alamance-Burlington Schools
255,010388,AAVC,10,0,Alamance-Burlington Schools
256,010388,AGNR,113,0,Alamance-Burlington Schools
257,010388,ARCH,23,0,Alamance-Burlington Schools
258,010388,BMA,2,0,Alamance-Burlington Schools
259,010388,HLTH,42,0,Alamance-Burlington Schools
260,010388,HUMA,28,0,Alamance-Burlington Schools
261,010388,INFO,7,0,Alamance-Burlington Schools
262,010388,LAW,11,0,Alamance-Burlington Schools
263,010388,STEM,4,0,Alamance-Burlington Schools
264,010388,TRAN,1,0,Alamance-Burlington Schools
329,010396,AAVC,94,0,Alamance-Burlington Schools
330,010396,ARCH,17,0,Alamance-Burlington Schools
331,010396,FINA,20,0,Alamance-Burlington Schools
332,010396,HLTH,41,0,Alamance-Burlington Schools
333,010396,HOSP,29,0,Alamance-Burlington Schools
334,010396,HUMA,41,0,Alamance-Burlington Schools
335,010396,INFO,8,0,Alamance-Burlington Schools
336,010396,LAW,1,0,Alamance-Burlington Schools
337,010396,STEM,13,0,Alamance-Burlington Schools
338,010396,TRAN,6,0,Alamance-Burlington Schools
397,010400,AAVC,2,0,Alamance-Burlington Schools
398,010400,AGNR,19,0,Alamance-Burlington Schools
399,010400,ARCH,45,0,Alamance-Burlington Schools
400,010400,BMA,1,0,Alamance-Burlington Schools
401,010400,HLTH,19,0,Alamance-Burlington Schools
402,010400,HUMA,26,0,Alamance-Burlington Schools
403,010400,INFO,2,0,Alamance-Burlington Schools
404,010400,LAW,7,0,Alamance-Burlington Schools
405,010400,STEM,3,0,Alamance-Burlington Schools
406,010400,TRAN,3,0,Alamance-Burlington Schools
465,020302,AAVC,25,0,Alexander County Schools
466,020302,AGNR,55,0,Alexander County Schools
467,020302,ARCH,55,0,Alexander County Schools
468,020302,BMA,10,0,Alexander County Schools
469,020302,HLTH,33,0,Alexander County Schools
470,020302,HUMA,76,0,Alexander County Schools
471,020302,INFO,1,0,Alexander County Schools
472,020302,STEM,9,0,Alexander County Schools
529,030304,AAVC,30,0,Alleghany County Schools
530,030304,AGNR,24,0,Alleghany County Schools
531,030304,ARCH,5,0,Alleghany County Schools
532,030304,HLTH,13,0,Alleghany County Schools
533,030304,HUMA,17,0,Alleghany County Schools
534,030304,LAW,3,0,Alleghany County Schools
535,030304,TRAN,7,0,Alleghany County Schools
586,040306,AAVC,1,0,Anson County Schools
587,040306,AGNR,11,0,Anson County Schools
588,040306,ARCH,6,0,Anson County Schools
589,040306,HLTH,10,0,Anson County Schools
590,040306,HUMA,13,0,Anson County Schools
591,040306,LAW,1,0,Anson County Schools
592,040306,MRKT,8,0,Anson County Schools
593,040306,STEM,10,0,Anson County Schools
594,040306,TRAN,17,0,Anson County Schools
652,050302,AGNR,9,0,Ashe County Schools
653,050302,ARCH,6,0,Ashe County Schools
654,050302,BMA,1,0,Ashe County Schools
655,050302,EDUC,4,0,Ashe County Schools
656,050302,HLTH,24,0,Ashe County Schools
657,050302,HOSP,2,0,Ashe County Schools
658,050302,HUMA,2,0,Ashe County Schools
659,050302,MANU,13,0,Ashe County Schools
660,050302,STEM,6,0,Ashe County Schools
661,050302,TRAN,9,0,Ashe County Schools
711,060302,AGNR,13,0,Avery County Schools
712,060302,ARCH,8,0,Avery County Schools
713,060302,HLTH,6,0,Avery County Schools
714,060302,HOSP,6,0,Avery County Schools
715,060302,MANU,16,0,Avery County Schools
716,060302,STEM,9,0,Avery County Schools
748,070310,TRAN,1,0,Beaufort County Schools
777,070311,INFO,1,0,Beaufort County Schools
778,070311,MANU,3,0,Beaufort County Schools
779,070311,MRKT,1,0,Beaufort County Schools
780,070311,TRAN,1,0,Beaufort County Schools
