,agency_code,career_cluster,num_concentrators,Title I Served School,District Name,cte_count
50,010324,AAVC,83,0,Alamance-Burlington Schools,11
51,010324,AGNR,9,0,Alamance-Burlington Schools,11
52,010324,ARCH,27,0,Alamance-Burlington Schools,11
53,010324,BMA,1,0,Alamance-Burlington Schools,11
54,010324,FINA,5,0,Alamance-Burlington Schools,11
55,010324,HLTH,25,0,Alamance-Burlington Schools,11
56,010324,HOSP,15,0,Alamance-Burlington Schools,11
57,010324,HUMA,23,0,Alamance-Burlington Schools,11
58,010324,INFO,1,0,Alamance-Burlington Schools,11
59,010324,LAW,1,0,Alamance-Burlington Schools,11
60,010324,STEM,11,0,Alamance-Burlington Schools,11
120,010348,AAVC,2,0,Alamance-Burlington Schools,9
121,010348,ARCH,12,0,Alamance-Burlington Schools,9
122,010348,BMA,1,0,Alamance-Burlington Schools,9
123,010348,HLTH,9,0,Alamance-Burlington Schools,9
124,010348,HUMA,27,0,Alamance-Burlington Schools,9
125,010348,INFO,1,0,Alamance-Burlington Schools,9
126,010348,LAW,5,0,Alamance-Burlington Schools,9
127,010348,STEM,1,0,Alamance-Burlington Schools,9
128,010348,TRAN,1,0,Alamance-Burlington Schools,9
189,010360,AAVC,8,0,Alamance-Burlington Schools,10
190,010360,AGNR,16,0,Alamance-Burlington Schools,10
191,010360,ARCH,5,0,Alamance-Burlington Schools,10
192,010360,FINA,13,0,Alamance-Burlington Schools,10
193,010360,HLTH,29,0,Alamance-Burlington Schools,10
194,010360,HOSP,32,0,Alamance-Burlington Schools,10
195,010360,HUMA,46,0,Alamance-Burlington Schools,10
196,010360,LAW,4,0,Alamance-Burlington Schools,10
197,010360,STEM,3,0,Alamance-Burlington Schools,10
198,010360,TRAN,4,0,Alamance-Burlington Schools,10
255,010388,AAVC,10,0,Alamance-Burlington Schools,10
256,010388,AGNR,113,0,Alamance-Burlington Schools,10
257,010388,ARCH,23,0,Alamance-Burlington Schools,10
258,010388,BMA,2,0,Alamance-Burlington Schools,10
259,010388,HLTH,42,0,Alamance-Burlington Schools,10
260,010388,HUMA,28,0,Alamance-Burlington Schools,10
261,010388,INFO,7,0,Alamance-Burlington Schools,10
262,010388,LAW,11,0,Alamance-Burlington Schools,10
263,010388,STEM,4,0,Alamance-Burlington Schools,10
264,010388,TRAN,1,0,Alamance-Burlington Schools,10
329,010396,AAVC,94,0,Alamance-Burlington Schools,10
330,010396,ARCH,17,0,Alamance-Burlington Schools,10
331,010396,FINA,20,0,Alamance-Burlington Schools,10
332,010396,HLTH,41,0,Alamance-Burlington Schools,10
333,010396,HOSP,29,0,Alamance-Burlington Schools,10
334,010396,HUMA,41,0,Alamance-Burlington Schools,10
335,010396,INFO,8,0,Alamance-Burlington Schools,10
336,010396,LAW,1,0,Alamance-Burlington Schools,10
337,010396,STEM,13,0,Alamance-Burlington Schools,10
338,010396,TRAN,6,0,Alamance-Burlington Schools,10
397,010400,AAVC,2,0,Alamance-Burlington Schools,10
398,010400,AGNR,19,0,Alamance-Burlington Schools,10
399,010400,ARCH,45,0,Alamance-Burlington Schools,10
400,010400,BMA,1,0,Alamance-Burlington Schools,10
401,010400,HLTH,19,0,Alamance-Burlington Schools,10
402,010400,HUMA,26,0,Alamance-Burlington Schools,10
403,010400,INFO,2,0,Alamance-Burlington Schools,10
404,010400,LAW,7,0,Alamance-Burlington Schools,10
405,010400,STEM,3,0,Alamance-Burlington Schools,10
406,010400,TRAN,3,0,Alamance-Burlington Schools,10
465,020302,AAVC,25,0,Alexander County Schools,8
466,020302,AGNR,55,0,Alexander County Schools,8
467,020302,ARCH,55,0,Alexander County Schools,8
468,020302,BMA,10,0,Alexander County Schools,8
469,020302,HLTH,33,0,Alexander County Schools,8
470,020302,HUMA,76,0,Alexander County Schools,8
471,020302,INFO,1,0,Alexander County Schools,8
472,020302,STEM,9,0,Alexander County Schools,8
529,030304,AAVC,30,0,Alleghany County Schools,7
530,030304,AGNR,24,0,Alleghany County Schools,7
531,030304,ARCH,5,0,Alleghany County Schools,7
532,030304,HLTH,13,0,Alleghany County Schools,7
533,030304,HUMA,17,0,Alleghany County Schools,7
534,030304,LAW,3,0,Alleghany County Schools,7
535,030304,TRAN,7,0,Alleghany County Schools,7
586,040306,AAVC,1,0,Anson County Schools,9
587,040306,AGNR,11,0,Anson County Schools,9
588,040306,ARCH,6,0,Anson County Schools,9
589,040306,HLTH,10,0,Anson County Schools,9
590,040306,HUMA,13,0,Anson County Schools,9
591,040306,LAW,1,0,Anson County Schools,9
592,040306,MRKT,8,0,Anson County Schools,9
593,040306,STEM,10,0,Anson County Schools,9
594,040306,TRAN,17,0,Anson County Schools,9
652,050302,AGNR,9,0,Ashe County Schools,10
653,050302,ARCH,6,0,Ashe County Schools,10
654,050302,BMA,1,0,Ashe County Schools,10
655,050302,EDUC,4,0,Ashe County Schools,10
656,050302,HLTH,24,0,Ashe County Schools,10
657,050302,HOSP,2,0,Ashe County Schools,10
658,050302,HUMA,2,0,Ashe County Schools,10
659,050302,MANU,13,0,Ashe County Schools,10
660,050302,STEM,6,0,Ashe County Schools,10
661,050302,TRAN,9,0,Ashe County Schools,10
711,060302,AGNR,13,0,Avery County Schools,6
712,060302,ARCH,8,0,Avery County Schools,6
713,060302,HLTH,6,0,Avery County Schools,6
714,060302,HOSP,6,0,Avery County Schools,6
715,060302,MANU,16,0,Avery County Schools,6
716,060302,STEM,9,0,Avery County Schools,6
748,070310,TRAN,1,0,Beaufort County Schools,1
777,070311,INFO,1,0,Beaufort County Schools,4
778,070311,MANU,3,0,Beaufort County Schools,4
779,070311,MRKT,1,0,Beaufort County Schools,4
780,070311,TRAN,1,0,Beaufort County Schools,4
822,070330,AGNR,3,0,Beaufort County Schools,7
823,070330,ARCH,10,0,Beaufort County Schools,7
824,070330,HLTH,9,0,Beaufort County Schools,7
825,070330,HUMA,7,0,Beaufort County Schools,7
826,070330,LAW,2,0,Beaufort County Schools,7
