,year,agency_code,career_cluster,num_concentrators,District Name,"School
Code",School Name,"State Board
Region",Grade Span,Title I Served School,Percent EDS,"School Performance 
Grade
(SPG)","School Performance
Score
(SPS)","School
Achievement
Score
(SA)","School Growth
Score
(SG)","School Growth
Status","School Growth
Index","Academic Assessments Score
(Reading and Mathematics EOG/EOC)","Science EOG
Score",English Learner Progress Score,"Four-Year
Cohort
Graduation
Rate Score","Biology
EOC Score",The ACT/WorkKeys Assessments Score,"Passing
NC Math 3 Course Score"
0,2017,010324,AAVC,22,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
1,2017,010324,AGNR,26,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
2,2017,010324,ARCH,32,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
3,2017,010324,BMA,2,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
4,2017,010324,FINA,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
5,2017,010324,HLTH,5,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
6,2017,010324,HOSP,87,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
7,2017,010324,HUMA,1,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
8,2017,010324,INFO,74,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
9,2017,010324,MANU,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
10,2017,010324,STEM,11,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
11,2017,010324,TRAN,10,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
12,2018,010324,AGNR,15,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
13,2018,010324,ARCH,24,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
14,2018,010324,AAVC,13,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
15,2018,010324,BMA,3,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
16,2018,010324,EDUC,0,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
17,2018,010324,FINA,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
18,2018,010324,HLTH,6,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
19,2018,010324,HOSP,22,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
20,2018,010324,HUMA,1,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
21,2018,010324,INFO,8,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
22,2018,010324,LAW,0,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
23,2018,010324,MANU,3,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
24,2018,010324,MRKT,0,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
25,2018,010324,STEM,7,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
26,2018,010324,TRAN,8,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
27,2019,010324,AGNR,24,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
28,2019,010324,ARCH,33,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
29,2019,010324,AAVC,17,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
30,2019,010324,BMA,6,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
31,2019,010324,FINA,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
32,2019,010324,HLTH,10,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
33,2019,010324,HOSP,39,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
34,2019,010324,HUMA,1,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
35,2019,010324,INFO,7,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
36,2019,010324,LAW,3,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
37,2019,010324,MRKT,2,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
38,2019,010324,STEM,5,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
39,2019,010324,TRAN,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
40,2020,010324,AAVC,216,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
41,2020,010324,ARCH,141,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
42,2020,010324,FINA,14,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
43,2020,010324,HLTH,72,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
44,2020,010324,HOSP,46,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
45,2020,010324,HUMA,138,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
46,2020,010324,INFO,32,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
47,2020,010324,LAW,4,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
48,2020,010324,STEM,19,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
49,2020,010324,TRAN,5,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
50,2021,010324,AAVC,83,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
51,2021,010324,AGNR,9,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
52,2021,010324,ARCH,27,Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12,,25,B,72.0,67.2,90.9,Exceeded,4.58,55.4,,,90.4,55.3,57.2,93.4
